dataset_file,algorithm,total_abstracts,total_relevant,total_relevant_in_screening_set,training_size,training_relevant,training_prevalence_estimate,band_selected_by_estimate,selected_screening_cost,selected_recall,selected_all_keys_found,A_screening_cost,A_recall,A_all_keys_found,A_stopped_by_breakout,A_data_cut_met_without_all_keys,A_sensitivity_gain_from_keys,A_keys_missing_at_data_cut,B_screening_cost,B_recall,B_all_keys_found,B_stopped_by_breakout,B_data_cut_met_without_all_keys,B_sensitivity_gain_from_keys,B_keys_missing_at_data_cut,C_screening_cost,C_recall,C_all_keys_found,C_stopped_by_breakout,C_data_cut_met_without_all_keys,C_sensitivity_gain_from_keys,C_keys_missing_at_data_cut
01_Anmarkrudetal__2022__training_01_seed1825_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,90,1,0.11,C,0.4276578737010392,0.9952830188679245,True,0.4660271782573941,0.9952830188679245,True,False,False,,0.0,0.44684252597921664,0.9952830188679245,True,False,False,,0.0,0.4276578737010392,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_02_seed410_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,93,1,0.08,B,0.447242206235012,0.9952830188679245,True,0.46642685851318944,0.9952830188679245,True,False,False,,0.0,0.447242206235012,0.9952830188679245,True,False,False,,0.0,0.42805755395683454,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_03_seed4507_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,89,1,0.12,C,0.3317346123101519,0.9716981132075472,True,0.46402877697841727,0.9952830188679245,True,False,False,,0.0,0.4448441247002398,0.9952830188679245,True,False,False,,0.0,0.3317346123101519,0.9716981132075472,True,False,False,,0
01_Anmarkrudetal__2022__training_04_seed4013_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,93,1,0.08,B,0.447242206235012,0.9952830188679245,True,0.46642685851318944,0.9952830188679245,True,False,False,,0.0,0.447242206235012,0.9952830188679245,True,False,False,,0.0,0.3581135091926459,0.9764150943396226,True,False,False,,0
01_Anmarkrudetal__2022__training_05_seed3658_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,93,1,0.08,B,0.44964028776978415,0.9952830188679245,True,0.46882494004796166,0.9952830188679245,True,False,False,,0.0,0.44964028776978415,0.9952830188679245,True,False,False,,0.0,0.4304556354916067,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_06_seed2287_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,91,1,0.1,B,0.44844124700239807,0.9952830188679245,True,0.4676258992805755,0.9952830188679245,True,False,False,,0.0,0.44844124700239807,0.9952830188679245,True,False,False,,0.0,0.3313349320543565,0.9716981132075472,True,False,False,,0
01_Anmarkrudetal__2022__training_07_seed1680_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,91,1,0.1,B,0.43884892086330934,0.9952830188679245,True,0.4580335731414868,0.9952830188679245,True,False,False,,0.0,0.43884892086330934,0.9952830188679245,True,False,False,,0.0,0.2529976019184652,0.9339622641509434,True,False,False,,0
01_Anmarkrudetal__2022__training_08_seed8936_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,95,1,0.06,B,0.4448441247002398,0.9952830188679245,True,0.46402877697841727,0.9952830188679245,True,False,False,,0.0,0.4448441247002398,0.9952830188679245,True,False,False,,0.0,0.42565947242206237,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_88_seed1085_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,92,1,0.09,B,0.44524380495603516,0.9952830188679245,True,0.4644284572342126,0.9952830188679245,True,False,False,,0.0,0.44524380495603516,0.9952830188679245,True,False,False,,0.0,0.4260591526778577,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_89_seed3457_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,93,1,0.08,B,0.4444444444444444,0.9952830188679245,True,0.4636290967226219,0.9952830188679245,True,False,False,,0.0,0.4444444444444444,0.9952830188679245,True,False,False,,0.0,0.3581135091926459,0.9764150943396226,True,False,False,,0
01_Anmarkrudetal__2022__training_90_seed9293_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,96,1,0.05,A,0.46682653876898483,0.9952830188679245,True,0.46682653876898483,0.9952830188679245,True,False,False,,0.0,0.44764188649080733,0.9952830188679245,True,False,False,,0.0,0.3581135091926459,0.9764150943396226,True,False,False,,0
01_Anmarkrudetal__2022__training_91_seed5156_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,92,1,0.09,B,0.44324540367705834,0.9952830188679245,True,0.4624300559552358,0.9952830188679245,True,False,False,,0.0,0.44324540367705834,0.9952830188679245,True,False,False,,0.0,0.4240607513988809,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_92_seed3484_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,90,1,0.11,C,0.42805755395683454,0.9952830188679245,True,0.46642685851318944,0.9952830188679245,True,False,False,,0.0,0.447242206235012,0.9952830188679245,True,False,False,,0.0,0.42805755395683454,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_93_seed8180_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,94,1,0.07,B,0.44644284572342124,0.9952830188679245,True,0.4656274980015987,0.9952830188679245,True,False,False,,0.0,0.44644284572342124,0.9952830188679245,True,False,False,,0.0,0.4272581934452438,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_94_seed6483_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,89,1,0.12,C,0.4244604316546763,0.9952830188679245,True,0.4628297362110312,0.9952830188679245,True,False,False,,0.0,0.44364508393285373,0.9952830188679245,True,False,False,,0.0,0.4244604316546763,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_95_seed7518_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,94,1,0.07,B,0.44684252597921664,0.9952830188679245,True,0.4660271782573941,0.9952830188679245,True,False,False,,0.0,0.44684252597921664,0.9952830188679245,True,False,False,,0.0,0.3237410071942446,0.9764150943396226,True,False,False,,0
01_Anmarkrudetal__2022__training_24_seed3612_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,93,1,0.08,B,0.4492406075139888,0.9952830188679245,True,0.46842525979216626,0.9952830188679245,True,False,False,,0.0,0.4492406075139888,0.9952830188679245,True,False,False,,0.0,0.43005595523581136,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_25_seed7360_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,92,1,0.09,B,0.442845723421263,0.9952830188679245,True,0.46203037569944044,0.9952830188679245,True,False,False,,0.0,0.442845723421263,0.9952830188679245,True,False,False,,0.0,0.25699440447641886,0.9339622641509434,True,False,False,,0
01_Anmarkrudetal__2022__training_26_seed9655_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,88,1,0.13,C,0.4248601119104716,0.9952830188679245,True,0.4632294164668265,0.9952830188679245,True,False,False,,0.0,0.4440447641886491,0.9952830188679245,True,False,False,,0.0,0.4248601119104716,0.9952830188679245,True,False,True,0.0047169811320754715,1
01_Anmarkrudetal__2022__training_27_seed4558_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,92,1,0.09,B,0.44524380495603516,0.9952830188679245,True,0.4644284572342126,0.9952830188679245,True,False,False,,0.0,0.44524380495603516,0.9952830188679245,True,False,False,,0.0,0.4260591526778577,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_28_seed107_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,91,1,0.1,B,0.4448441247002398,0.9952830188679245,True,0.46402877697841727,0.9952830188679245,True,False,False,,0.0,0.4448441247002398,0.9952830188679245,True,False,False,,0.0,0.42565947242206237,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_29_seed2616_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,90,1,0.11,C,0.42326139088729015,0.9952830188679245,True,0.4616306954436451,0.9952830188679245,True,False,False,,0.0,0.44244604316546765,0.9952830188679245,True,False,False,,0.0,0.42326139088729015,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_30_seed6925_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,96,1,0.05,A,0.4628297362110312,0.9952830188679245,True,0.4628297362110312,0.9952830188679245,True,False,False,,0.0,0.44364508393285373,0.9952830188679245,True,False,False,,0.0,0.36171063149480415,0.9764150943396226,True,False,False,,0
01_Anmarkrudetal__2022__training_31_seed5575_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,91,1,0.1,B,0.447242206235012,0.9952830188679245,True,0.46642685851318944,0.9952830188679245,True,False,False,,0.0,0.447242206235012,0.9952830188679245,True,False,False,,0.0,0.42805755395683454,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_32_seed4553_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,94,1,0.07,B,0.4444444444444444,0.9952830188679245,True,0.4636290967226219,0.9952830188679245,True,False,False,,0.0,0.4444444444444444,0.9952830188679245,True,False,False,,0.0,0.2541966426858513,0.9339622641509434,True,False,False,,0
01_Anmarkrudetal__2022__training_33_seed2548_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,92,1,0.09,B,0.4520383693045564,0.9952830188679245,True,0.4712230215827338,0.9952830188679245,True,False,False,,0.0,0.4520383693045564,0.9952830188679245,True,False,False,,0.0,0.43285371702637887,0.9952830188679245,True,False,True,0.0047169811320754715,1
01_Anmarkrudetal__2022__training_34_seed3528_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,90,1,0.11,C,0.42206235011990406,0.9952830188679245,True,0.460431654676259,0.9952830188679245,True,False,False,,0.0,0.4412470023980815,0.9952830188679245,True,False,False,,0.0,0.42206235011990406,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_35_seed5515_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,89,1,0.12,C,0.4228617106314948,0.9952830188679245,True,0.4612310151878497,0.9952830188679245,True,False,False,,0.0,0.44204636290967225,0.9952830188679245,True,False,False,,0.0,0.4228617106314948,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_36_seed1675_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,93,1,0.08,B,0.4492406075139888,0.9952830188679245,True,0.46842525979216626,0.9952830188679245,True,False,False,,0.0,0.4492406075139888,0.9952830188679245,True,False,False,,0.0,0.43005595523581136,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_37_seed1520_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,94,1,0.07,B,0.4440447641886491,0.9952830188679245,True,0.4632294164668265,0.9952830188679245,True,False,False,,0.0,0.4440447641886491,0.9952830188679245,True,False,False,,0.0,0.3205435651478817,0.9764150943396226,True,False,False,,0
01_Anmarkrudetal__2022__training_38_seed6225_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,97,1,0.04,A,0.464828137490008,0.9952830188679245,True,0.464828137490008,0.9952830188679245,True,False,False,,0.0,0.44564348521183056,0.9952830188679245,True,False,False,,0.0,0.42645883293365305,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_39_seed1585_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,91,1,0.1,B,0.4444444444444444,0.9952830188679245,True,0.4636290967226219,0.9952830188679245,True,False,False,,0.0,0.4444444444444444,0.9952830188679245,True,False,False,,0.0,0.3581135091926459,0.9764150943396226,True,False,False,,0
01_Anmarkrudetal__2022__training_16_seed3812_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,90,1,0.11,C,0.4260591526778577,0.9952830188679245,True,0.4644284572342126,0.9952830188679245,True,False,False,,0.0,0.44524380495603516,0.9952830188679245,True,False,False,,0.0,0.4260591526778577,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_17_seed8280_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,91,1,0.1,B,0.44324540367705834,0.9952830188679245,True,0.4624300559552358,0.9952830188679245,True,False,False,,0.0,0.44324540367705834,0.9952830188679245,True,False,False,,0.0,0.32773780975219824,0.9716981132075472,True,False,False,,0
01_Anmarkrudetal__2022__training_18_seed9864_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,92,1,0.09,B,0.44564348521183056,0.9952830188679245,True,0.464828137490008,0.9952830188679245,True,False,False,,0.0,0.44564348521183056,0.9952830188679245,True,False,False,,0.0,0.42645883293365305,0.9952830188679245,True,False,True,0.0047169811320754715,1
01_Anmarkrudetal__2022__training_19_seed435_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,89,1,0.12,C,0.42366107114308554,0.9952830188679245,True,0.46203037569944044,0.9952830188679245,True,False,False,,0.0,0.442845723421263,0.9952830188679245,True,False,False,,0.0,0.42366107114308554,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_20_seed9196_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,90,1,0.11,C,0.4228617106314948,0.9952830188679245,True,0.4612310151878497,0.9952830188679245,True,False,False,,0.0,0.44204636290967225,0.9952830188679245,True,False,False,,0.0,0.4228617106314948,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_21_seed3258_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,94,1,0.07,B,0.44324540367705834,0.9952830188679245,True,0.4624300559552358,0.9952830188679245,True,False,False,,0.0,0.44324540367705834,0.9952830188679245,True,False,False,,0.0,0.4240607513988809,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_22_seed8929_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,91,1,0.1,B,0.44764188649080733,0.9952830188679245,True,0.46682653876898483,0.9952830188679245,True,False,False,,0.0,0.44764188649080733,0.9952830188679245,True,False,False,,0.0,0.4284572342126299,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_23_seed6874_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,92,1,0.09,B,0.44964028776978415,0.9952830188679245,True,0.46882494004796166,0.9952830188679245,True,False,False,,0.0,0.44964028776978415,0.9952830188679245,True,False,False,,0.0,0.4304556354916067,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_48_seed6202_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,98,1,0.03,A,0.4644284572342126,0.9952830188679245,True,0.4644284572342126,0.9952830188679245,True,False,False,,0.0,0.44524380495603516,0.9952830188679245,True,False,False,,0.0,0.36211031175059955,0.9764150943396226,True,False,False,,0
01_Anmarkrudetal__2022__training_49_seed1292_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,94,1,0.07,B,0.4460431654676259,0.9952830188679245,True,0.46522781774580335,0.9952830188679245,True,False,False,,0.0,0.4460431654676259,0.9952830188679245,True,False,False,,0.0,0.42685851318944845,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_50_seed9045_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,96,1,0.05,A,0.4656274980015987,0.9952830188679245,True,0.4656274980015987,0.9952830188679245,True,False,False,,0.0,0.44644284572342124,0.9952830188679245,True,False,False,,0.0,0.4272581934452438,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_51_seed4804_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,92,1,0.09,B,0.44324540367705834,0.9952830188679245,True,0.4624300559552358,0.9952830188679245,True,False,False,,0.0,0.44324540367705834,0.9952830188679245,True,False,False,,0.0,0.35611510791366907,0.9764150943396226,True,False,False,,0
01_Anmarkrudetal__2022__training_52_seed5926_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,92,1,0.09,B,0.44324540367705834,0.9952830188679245,True,0.4624300559552358,0.9952830188679245,True,False,False,,0.0,0.44324540367705834,0.9952830188679245,True,False,False,,0.0,0.4240607513988809,0.9952830188679245,True,False,True,0.0047169811320754715,1
01_Anmarkrudetal__2022__training_53_seed9460_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,96,1,0.05,A,0.4660271782573941,0.9952830188679245,True,0.4660271782573941,0.9952830188679245,True,False,False,,0.0,0.44684252597921664,0.9952830188679245,True,False,False,,0.0,0.4276578737010392,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_54_seed3151_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,90,1,0.11,C,0.42046362909672264,0.9952830188679245,True,0.45883293365307753,0.9952830188679245,True,False,False,,0.0,0.4396482813749001,0.9952830188679245,True,False,False,,0.0,0.42046362909672264,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_55_seed1140_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,87,1,0.14,C,0.4240607513988809,0.9952830188679245,True,0.4628297362110312,0.9952830188679245,True,False,False,,0.0,0.44324540367705834,0.9952830188679245,True,False,False,,0.0,0.4240607513988809,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_09_seed1425_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,87,1,0.14,C,0.42525979216626697,0.9952830188679245,True,0.46402877697841727,0.9952830188679245,True,False,False,,0.0,0.4444444444444444,0.9952830188679245,True,False,False,,0.0,0.42525979216626697,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_100_seed9198_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,92,1,0.09,B,0.4492406075139888,0.9952830188679245,True,0.46842525979216626,0.9952830188679245,True,False,False,,0.0,0.4492406075139888,0.9952830188679245,True,False,False,,0.0,0.43005595523581136,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_10_seed9675_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,92,1,0.09,B,0.44524380495603516,0.9952830188679245,True,0.4644284572342126,0.9952830188679245,True,False,False,,0.0,0.44524380495603516,0.9952830188679245,True,False,False,,0.0,0.4260591526778577,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_11_seed6913_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,94,1,0.07,B,0.4480415667466027,0.9952830188679245,True,0.4672262190247802,0.9952830188679245,True,False,False,,0.0,0.4480415667466027,0.9952830188679245,True,False,False,,0.0,0.4288569144684253,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_12_seed521_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,91,1,0.1,B,0.44244604316546765,0.9952830188679245,True,0.4616306954436451,0.9952830188679245,True,False,False,,0.0,0.44244604316546765,0.9952830188679245,True,False,False,,0.0,0.42326139088729015,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_13_seed489_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,96,1,0.05,A,0.4708233413269384,0.9952830188679245,True,0.4708233413269384,0.9952830188679245,True,False,False,,0.0,0.451638689048761,0.9952830188679245,True,False,False,,0.0,0.3345323741007194,0.9716981132075472,True,False,False,,0
01_Anmarkrudetal__2022__training_14_seed1536_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,92,1,0.09,B,0.44244604316546765,0.9952830188679245,True,0.4616306954436451,0.9952830188679245,True,False,False,,0.0,0.44244604316546765,0.9952830188679245,True,False,False,,0.0,0.42326139088729015,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_15_seed3583_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,94,1,0.07,B,0.442845723421263,0.9952830188679245,True,0.46203037569944044,0.9952830188679245,True,False,False,,0.0,0.442845723421263,0.9952830188679245,True,False,False,,0.0,0.42366107114308554,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_80_seed3599_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,95,1,0.06,B,0.4416466826538769,0.9952830188679245,True,0.46083133493205436,0.9952830188679245,True,False,False,,0.0,0.4416466826538769,0.9952830188679245,True,False,False,,0.0,0.3289368505195843,0.9716981132075472,True,False,True,0.0047169811320754715,1
01_Anmarkrudetal__2022__training_81_seed5314_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,92,1,0.09,B,0.4460431654676259,0.9952830188679245,True,0.46522781774580335,0.9952830188679245,True,False,False,,0.0,0.4460431654676259,0.9952830188679245,True,False,False,,0.0,0.33253397282174263,0.9716981132075472,True,False,False,,0
01_Anmarkrudetal__2022__training_82_seed917_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,94,1,0.07,B,0.44244604316546765,0.9952830188679245,True,0.4616306954436451,0.9952830188679245,True,False,False,,0.0,0.44244604316546765,0.9952830188679245,True,False,False,,0.0,0.42326139088729015,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_83_seed3753_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,93,1,0.08,B,0.44324540367705834,0.9952830188679245,True,0.4624300559552358,0.9952830188679245,True,False,False,,0.0,0.44324540367705834,0.9952830188679245,True,False,False,,0.0,0.3545163868904876,0.9764150943396226,True,False,False,,0
01_Anmarkrudetal__2022__training_84_seed526_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,91,1,0.1,B,0.447242206235012,0.9952830188679245,True,0.46642685851318944,0.9952830188679245,True,False,False,,0.0,0.447242206235012,0.9952830188679245,True,False,False,,0.0,0.35891286970423664,0.9764150943396226,True,False,False,,0
01_Anmarkrudetal__2022__training_85_seed5169_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,88,1,0.13,C,0.42046362909672264,0.9952830188679245,True,0.45883293365307753,0.9952830188679245,True,False,False,,0.0,0.4396482813749001,0.9952830188679245,True,False,False,,0.0,0.42046362909672264,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_86_seed6573_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,91,1,0.1,B,0.44084732214228617,0.9952830188679245,True,0.4600319744204636,0.9952830188679245,True,False,False,,0.0,0.44084732214228617,0.9952830188679245,True,False,False,,0.0,0.3565147881694644,0.9764150943396226,True,False,False,,0
01_Anmarkrudetal__2022__training_87_seed4387_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,92,1,0.09,B,0.4416466826538769,0.9952830188679245,True,0.46083133493205436,0.9952830188679245,True,False,False,,0.0,0.4416466826538769,0.9952830188679245,True,False,False,,0.0,0.42246203037569946,0.9952830188679245,True,False,True,0.0047169811320754715,1
01_Anmarkrudetal__2022__training_40_seed5882_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,92,1,0.09,B,0.442845723421263,0.9952830188679245,True,0.46203037569944044,0.9952830188679245,True,False,False,,0.0,0.442845723421263,0.9952830188679245,True,False,False,,0.0,0.42366107114308554,0.9952830188679245,True,False,True,0.0047169811320754715,1
01_Anmarkrudetal__2022__training_41_seed5636_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,97,1,0.04,A,0.46522781774580335,0.9952830188679245,True,0.46522781774580335,0.9952830188679245,True,False,False,,0.0,0.4460431654676259,0.9952830188679245,True,False,False,,0.0,0.42685851318944845,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_42_seed9892_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,92,1,0.09,B,0.44524380495603516,0.9952830188679245,True,0.4644284572342126,0.9952830188679245,True,False,False,,0.0,0.44524380495603516,0.9952830188679245,True,False,False,,0.0,0.4260591526778577,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_43_seed4334_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,95,1,0.06,B,0.44644284572342124,0.9952830188679245,True,0.4656274980015987,0.9952830188679245,True,False,False,,0.0,0.44644284572342124,0.9952830188679245,True,False,False,,0.0,0.35731414868105515,0.9764150943396226,True,False,False,,0
01_Anmarkrudetal__2022__training_44_seed712_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,92,1,0.09,B,0.44564348521183056,0.9952830188679245,True,0.464828137490008,0.9952830188679245,True,False,False,,0.0,0.44564348521183056,0.9952830188679245,True,False,False,,0.0,0.42645883293365305,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_45_seed7528_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,92,1,0.09,B,0.4480415667466027,0.9952830188679245,True,0.4672262190247802,0.9952830188679245,True,False,False,,0.0,0.4480415667466027,0.9952830188679245,True,False,False,,0.0,0.4288569144684253,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_46_seed8786_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,93,1,0.08,B,0.4460431654676259,0.9952830188679245,True,0.46522781774580335,0.9952830188679245,True,False,False,,0.0,0.4460431654676259,0.9952830188679245,True,False,False,,0.0,0.42685851318944845,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_47_seed2046_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,91,1,0.1,B,0.44084732214228617,0.9952830188679245,True,0.4600319744204636,0.9952830188679245,True,False,False,,0.0,0.44084732214228617,0.9952830188679245,True,False,False,,0.0,0.4216626698641087,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_72_seed2804_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,88,1,0.13,C,0.42645883293365305,0.9952830188679245,True,0.464828137490008,0.9952830188679245,True,False,False,,0.0,0.44564348521183056,0.9952830188679245,True,False,False,,0.0,0.42645883293365305,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_73_seed8752_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,90,1,0.11,C,0.5155875299760192,1.0,True,0.5539568345323741,1.0,True,False,True,0.0047169811320754715,1.0,0.5347721822541966,1.0,True,False,True,0.0047169811320754715,1.0,0.5155875299760192,1.0,True,False,True,0.0047169811320754715,1
01_Anmarkrudetal__2022__training_74_seed4011_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,93,1,0.08,B,0.442845723421263,0.9952830188679245,True,0.46203037569944044,0.9952830188679245,True,False,False,,0.0,0.442845723421263,0.9952830188679245,True,False,False,,0.0,0.33253397282174263,0.9716981132075472,True,False,False,,0
01_Anmarkrudetal__2022__training_75_seed2678_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,95,1,0.06,B,0.44244604316546765,0.9952830188679245,True,0.4616306954436451,0.9952830188679245,True,False,False,,0.0,0.44244604316546765,0.9952830188679245,True,False,False,,0.0,0.42326139088729015,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_76_seed7574_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,93,1,0.08,B,0.44204636290967225,0.9952830188679245,True,0.4612310151878497,0.9952830188679245,True,False,False,,0.0,0.44204636290967225,0.9952830188679245,True,False,False,,0.0,0.4228617106314948,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_77_seed6217_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,95,1,0.06,B,0.44364508393285373,0.9952830188679245,True,0.4628297362110312,0.9952830188679245,True,False,False,,0.0,0.44364508393285373,0.9952830188679245,True,False,False,,0.0,0.4244604316546763,0.9952830188679245,True,False,False,,0
