dataset_file,algorithm,total_abstracts,total_relevant,total_relevant_in_screening_set,training_size,training_relevant,training_prevalence_estimate,band_selected_by_estimate,selected_screening_cost,selected_recall,selected_all_keys_found,A_screening_cost,A_recall,A_all_keys_found,A_stopped_by_breakout,A_data_cut_met_without_all_keys,A_sensitivity_gain_from_keys,A_keys_missing_at_data_cut,B_screening_cost,B_recall,B_all_keys_found,B_stopped_by_breakout,B_data_cut_met_without_all_keys,B_sensitivity_gain_from_keys,B_keys_missing_at_data_cut,C_screening_cost,C_recall,C_all_keys_found,C_stopped_by_breakout,C_data_cut_met_without_all_keys,C_sensitivity_gain_from_keys,C_keys_missing_at_data_cut
25_Xuetal__2022__training_31_seed6533_LR_SBERT_complete_results_key1.csv,LR_SBERT,3237,281,280,97,1,0.04,A,0.5696632684584492,1.0,True,0.5696632684584492,1.0,True,False,False,,0.0,0.5502008032128514,1.0,True,False,False,,0.0,0.4306456595613222,0.9679715302491103,True,False,False,,0
25_Xuetal__2022__training_16_seed6241_LR_SBERT_complete_results_key1.csv,LR_SBERT,3237,281,280,91,1,0.1,B,0.5477293790546802,1.0,True,0.567191844300278,1.0,True,False,False,,0.0,0.5477293790546802,1.0,True,False,False,,0.0,0.5282669138090825,1.0,True,False,False,,0
25_Xuetal__2022__training_17_seed8693_LR_SBERT_complete_results_key1.csv,LR_SBERT,3237,281,280,90,1,0.11,C,0.5251776336113686,1.0,True,0.5641025641025641,1.0,True,False,False,,0.0,0.5446400988569663,1.0,True,False,False,,0.0,0.5251776336113686,1.0,True,False,False,,0
25_Xuetal__2022__training_18_seed4832_LR_SBERT_complete_results_key1.csv,LR_SBERT,3237,281,280,96,1,0.05,A,0.5730614766759345,1.0,True,0.5730614766759345,1.0,True,False,False,,0.0,0.5539079394501081,1.0,True,False,False,,0.0,0.5344454742045104,1.0,True,False,False,,0
25_Xuetal__2022__training_19_seed9865_LR_SBERT_complete_results_key1.csv,LR_SBERT,3237,281,280,96,1,0.05,A,0.5681186283595923,1.0,True,0.5681186283595923,1.0,True,False,False,,0.0,0.5489650911337658,1.0,True,False,False,,0.0,0.42879209144269387,0.9679715302491103,True,False,False,,0
25_Xuetal__2022__training_20_seed8283_LR_SBERT_complete_results_key1.csv,LR_SBERT,3237,281,280,89,1,0.12,C,0.5273401297497683,1.0,True,0.5662650602409639,1.0,True,False,False,,0.0,0.5468025949953661,1.0,True,False,False,,0.0,0.5273401297497683,1.0,True,False,False,,0
25_Xuetal__2022__training_21_seed7049_LR_SBERT_complete_results_key1.csv,LR_SBERT,3237,281,280,93,1,0.08,B,0.5523632993512512,1.0,True,0.571825764596849,1.0,True,False,False,,0.0,0.5523632993512512,1.0,True,False,False,,0.0,0.5329008341056534,1.0,True,False,False,,0
25_Xuetal__2022__training_22_seed1625_LR_SBERT_complete_results_key1.csv,LR_SBERT,3237,281,280,91,1,0.1,B,0.5505097312326228,1.0,True,0.5699721964782206,1.0,True,False,False,,0.0,0.5505097312326228,1.0,True,False,False,,0.0,0.531047265987025,1.0,True,False,False,,0
25_Xuetal__2022__training_23_seed9371_LR_SBERT_complete_results_key1.csv,LR_SBERT,3237,281,280,96,1,0.05,A,0.5681186283595923,1.0,True,0.5681186283595923,1.0,True,False,False,,0.0,0.5489650911337658,1.0,True,False,False,,0.0,0.5295026258881681,1.0,True,False,False,,0
25_Xuetal__2022__training_32_seed6816_LR_SBERT_complete_results_key1.csv,LR_SBERT,3237,281,280,89,1,0.12,C,0.5347544022242817,1.0,True,0.5736793327154773,1.0,True,False,False,,0.0,0.5542168674698795,1.0,True,False,False,,0.0,0.5347544022242817,1.0,True,False,False,,0
